symbol,sector,sector_etf
MMM,Industrials,XLI
AOS,Industrials,XLI
ABT,Health Care,XLV
ABBV,Health Care,XLV
ACN,Information Technology,XLK
ADBE,Information Technology,XLK
AMD,Information Technology,XLK
AES,Utilities,XLU
AFL,Financials,XLF
A,Health Care,XLV
APD,Materials,XLB
ABNB,Consumer Discretionary,XLY
AKAM,Information Technology,XLK
ALB,Materials,XLB
ARE,Real Estate,XLRE
ALGN,Health Care,XLV
ALLE,Industrials,XLI
LNT,Utilities,XLU
ALL,Financials,XLF
GOOGL,Communication Services,XLC
GOOG,Communication Services,XLC
MO,Consumer Staples,XLP
AMZN,Consumer Discretionary,XLY
AMCR,Materials,XLB
AEE,Utilities,XLU
AEP,Utilities,XLU
AXP,Financials,XLF
AIG,Financials,XLF
AMT,Real Estate,XLRE
AWK,Utilities,XLU
AMP,Financials,XLF
AME,Industrials,XLI
AMGN,Health Care,XLV
APH,Information Technology,XLK
ADI,Information Technology,XLK
AON,Financials,XLF
APA,Energy,XLE
APO,Financials,XLF
AAPL,Information Technology,XLK
AMAT,Information Technology,XLK
APP,Information Technology,XLK
APTV,Consumer Discretionary,XLY
ACGL,Financials,XLF
ADM,Consumer Staples,XLP
ARES,Financials,XLF
ANET,Information Technology,XLK
AJG,Financials,XLF
AIZ,Financials,XLF
T,Communication Services,XLC
ATO,Utilities,XLU
ADSK,Information Technology,XLK
ADP,Industrials,XLI
AZO,Consumer Discretionary,XLY
AVB,Real Estate,XLRE
AVY,Materials,XLB
AXON,Industrials,XLI
BKR,Energy,XLE
BALL,Materials,XLB
BAC,Financials,XLF
BAX,Health Care,XLV
BDX,Health Care,XLV
BRK-B,Financials,XLF
BBY,Consumer Discretionary,XLY
TECH,Health Care,XLV
BIIB,Health Care,XLV
BLK,Financials,XLF
BX,Financials,XLF
XYZ,Financials,XLF
BK,Financials,XLF
BA,Industrials,XLI
BKNG,Consumer Discretionary,XLY
BSX,Health Care,XLV
BMY,Health Care,XLV
AVGO,Information Technology,XLK
BR,Industrials,XLI
BRO,Financials,XLF
BF-B,Consumer Staples,XLP
BLDR,Industrials,XLI
BG,Consumer Staples,XLP
BXP,Real Estate,XLRE
CHRW,Industrials,XLI
CDNS,Information Technology,XLK
CPT,Real Estate,XLRE
CPB,Consumer Staples,XLP
COF,Financials,XLF
CAH,Health Care,XLV
CCL,Consumer Discretionary,XLY
CARR,Industrials,XLI
CVNA,Consumer Discretionary,XLY
CASY,Consumer Staples,XLP
CAT,Industrials,XLI
CBOE,Financials,XLF
CBRE,Real Estate,XLRE
CDW,Information Technology,XLK
COR,Health Care,XLV
CNC,Health Care,XLV
CNP,Utilities,XLU
